No,genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
61870,Ska,Rx Bandits,Meow! Meow! Space Tiger,6kwxmpeEsfsXAUeWfNTciu,,0.0116,0.546,225208,0.892,0,C#,0.21,-4.788,Minor,0.0388,166.001,0.726
61871,Reggae,311,Paradise,39YjABxB9Ew5ig9b3LNSmt,,0.000691,0.71,302200,0.789,0.00578,B,0.111,-9.313,Minor,0.0512,144.014,0.622
61872,Country,Redneck Souljers,Bounce,0BwPIahkOoXFPSR5Wr3byw,,0.0133,0.766,223071,0.72,0,B,0.078,-8.481,Major,0.0726,139.974,0.459
61873,Comedy,"""Weird Al"" Yankovic",Angry White Boy Polka,7An9RjFCMkUTH1Wa89HgPO,,0.138,0.549,303467,0.687,0,G,0.0785,-9.33,Minor,0.188,150.441,0.845
61874,Jazz,Cassandra Wilson,Time After Time,7fq8a2BJYAN92veaSO73IF,,0.621,0.382,248000,0.296,0.0319,C,0.122,-13.798,Major,0.0319,156.915,0.317
61875,Electronic,Destructo,Bust Them Cheeks (feat. Too $hort),5mlA9S3w6fLsjOa2sbHetm,,0.0255,0.874,252029,0.629,0.00103,D,0.0947,-8.138,Major,0.0592,123.977,0.358
61876,Movie,Henri Salvador,Jardin D'hiver,3kAChgNSzBmYuNUrxPczV0,,0.578,0.562,183813,0.509,0,G,0.8,-16.497,Minor,0.239,116.61,0.696
61877,Soul,Matt DiMona,Like Crazy,1r6EWso413FfYGdPYvshZS,,0.907,0.616,242000,0.152,0.00637,G,0.0937,-14.716,Minor,0.0464,93.713,0.0568
61878,Comedy,Gary Gulman,Karate Kid Part 2,6Mkp3JG1K8URKd1CDk5j0T,,0.891,0.539,363680,0.886,0,A#,0.942,-4.688,Major,0.934,134.353,0.404
61879,Jazz,El Gran Combo De Puerto Rico,Vagabundo,3drdfMEzD3EoLCdvAB4bhr,,0.654,0.581,290457,0.734,0.0113,A,0.0564,-4.471,Minor,0.0413,91.768,0.927
